Questions,Answers
What is Emergency contact qtc12345?,contact numbers are 71723234567 and 9131234567
What is Emergency  contact qtc676767?,contact numbers are 3451114567 and 3451233434
What is Emergency contact qtc123423?,contact numbers are 7031234567 and 7031234567
What is exit route from  qtc676767,Section A follow yellow line Section B follow red line Section C follow blue line
Wht is exit route from qtc12345 ?,Trisection A follow yellow line
Where is the closest Exit to the stairs?,follow trisection color line to the Exit and the stairs
How do I know what my exit route is?,locate sign trisection A B or C follow arrow
Where is the medical kit for qtc12345 ?,The medical kit is opposite the Restroom entrance
Where is the medical kit  for qtc676767?,The medical kit is opposite main  entrance
Where is the medical kit  for building qtc123423?,The medical kit is opposite the kitchen entrance
Where is the defibrillator  for qtc12345?,Behind a glass case on the wall
Where is defibrillator for qtc676767?,beside security desk close to fire extinguishers on  wall
Where is  defibrillator for qtc123423?,beside security desk close to fire extinguishers on  wall behind glass case
Where is Evacuation chair  for qtc12345?,on Floors 22 and 23 in kitchen to right of restrooms
Where is Evacuation chair  for qtc676767?,on Floors 22 and 23 in  kitchen
Where is the Evacuation chair  for qtc123423?,on Floors 22 and 23 beside  front desk
What should I do there is an active shooter,"RUN, HIDE, FIGHT"
How do I message my location to authorities ?,send location or send photo
What are emergency security numbers?,call  8881234567 or 7771234567
What do I do for bomb threat ?,message Bomb_Threat_in_Building to security
what should I do with I unattended item?,imediately Evacuate the area and contact security
What do i do stuck in the elevator?,Press the intercom button and wait to be connected to the operator
What do I do fire alarm has sounded ?,6261234567 or 8581234567
Where are fire extinguishers for qtc12345?,Trisection A By the Exit to the Stairs Trisection B By the Exit to the Stairs Trisection C In the kitchen
Where are fire extinguishers for qtc676767?,By the Exit to Stairs Trisection C in kitchen
Where are fire extinguishers for qtc123423?,By the Exit to Stairs Trisection B in kitchen
What to so there is so much smoke ,cover your mouth with something so you dont inhale the smoke
What to do no electricity ,contact site management on 6261234567 or 8581234567
What to do there is an earthquake  ,move away from windows cover under  stable object
What to do there is a hurricane  ,move to interior spaces like restrooms and corridors
What to do if there is a chemical spill ,do not leave building contact 6261234599 or 8584444221
